"%s Item(s)","%s Item(s)"
"(ver. %s)","(ver. %s)"
"Close Window","Tutup Window"
"Copyright","Copyright"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Default Robots","Default Robots"
"Default Title","Default Title"
"Footer","Footer"
"Header","Header"
"Help Us to Keep Magento Healthy","Dukung Pengembangan Magento"
"HTML Head","HTML Head"
"Interface Language","Interface Language"
"Items %s to %s of %s total","Items %s to %s of %s total"
"Logo Image Alt","Logo Image Alt"
"Logo Image Src","Logo Image Src"
"Magento Commerce Demo Store","Magento Commerce Demo Store"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"Next Page","Selanjutnya"
"Page:","Hal.:"
"per page","per halaman"
"Previous Page","Sebelumnya"
"Report All Bugs","Laporkan Bug"
"Select Store","Select Store"
"Show","Tampilkan"
"Skip to Main Content","Lanjutkan ke Konten Utama"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","This is a demo store. Any orders placed through this store will not be honored or fulfilled."
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Welcome Text","Welcome Text"
"Welcome, %s!","Welcome, %s!"
"You're currently on:","Anda berada di:"
"Your Language","Bahasa Anda"
