"Actions","Aksi"
"Active","Aktif"
"Add New Rule","Tambah Aturan Baru"
"Apply Rules","Terapkan Aturan"
"Attribute Set","Set Atribut"
"Catalog","Katalog"
"Catalog Price Rule","Aturan Harga Katalog"
"Catalog Price Rules","Aturan Harga Katalog"
"Category","Kategori"
"Comments History","Sejarah Komentar"
"Conditions","Kondisi"
"Conditions (leave blank for all products)","Kondisi (biarkan kosong untuk semua produk)"
"Conditions Combination","Kombinasi Kondisi"
"Credit Memos","Memo Kredit"
"Customer Groups","Grup Konsumen"
"Customer is new buyer: %s","Konsumen adala pembeli baru: %s"
"Customer registered: %s","Konsumen terdaftar: %s"
"Date Expire","Tanggal Berakhir"
"Date From","Tanggal Dari"
"Date Start","Tanggal Mulai"
"Date To","Tanggal Sampai"
"Delete Rule","Hapus Aturan"
"Description","Deskripsi"
"Description: %s","Deskripsi: %s"
"Edit Rule","Ubah Aturan"
"Edit Rule '%s'","Ubah Aturan '%s'"
"Expire at: %s","Berakhir pada: %s"
"From Date","Dari Tanggal"
"General Information","Infromasi Umum"
"Gift Messages","Pesan Hadiah"
"ID","ID"
"Inactive","Tidak Aktif"
"Invoices","Invoice"
"Name: %s","Nama: %s"
"New Rule","Aturan Baru"
"No","Tidak"
"NOT LOGGED IN","TIDAK MASUK"
"Options","Opsi"
"Order Credit Memos","Memo Kredit Pembelian"
"Order Gift Messages","Pesan Hadiah Pembelian"
"Order History","Sejarah Pembelian"
"Order Invoices","Invoice Pembelian"
"Order Shipments","Pengiriman Pembelian"
"Priority","Prioritas"
"Product Attribute","Atribut Produk"
"Promotions","Promosi"
"Rule Information","Infromasi Aturan"
"Rule Name","Nama Aturan"
"Rule was successfully deleted","Aturan berhasil dihapus"
"Rule was successfully saved","Aturan berhasil disimpan"
"Rules were successfully applied","Aturan berhasil diterapkan"
"Save and Apply","Simpan dan Terapkan"
"Save Rule","Simpan Aturan"
"Shipments","Pengiriman"
"Start at: %s","Dimulai dari: %s"
"Status","Status"
"Stop further rules processing","Hentikan pemrosesan aturan"
"The page you are trying to save no longer exists","Halaman yang akan anda simpan sudah tidak ada"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog."
"This rule no longer exists","Aturan ini sudah tidak ada"
"To Date","Sampai Tanggal"
"Unable to apply rules","Tidak dapat menerapkan aturan"
"Unable to find a page to delete","Tidak dapat menemukan halaman untuk dihapus"
"Update product's %s %s: %s","Perbaharui produk %s %s: %s"
"Websites","Websites"
"Yes","Ya"
