"%s and greater","%s and greater"
"Advanced Search","Advanced Search"
"All","Semua"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated site map","Autogenerated site map"
"Catalog Advanced Search","Catalog Advanced Search"
"Catalog Search","Catalog Search"
"Don't see what you're looking for?","Don't see what you're looking for?"
"Go","Go"
"Go to Home Page","Go to Home Page"
"Grid","Grid"
"Home","Home"
"List","List"
"Maximum Query Length","Maximum Query Length"
"Maximum Query Words Count","Maximum Query Words Count"
"Maximum Search query  length is %s. Your query was cut.","Maximum Search query  length is %s. Your query was cut."
"Minimal Query Length","Minimal Query Length"
"Modify your search","Modify your search"
"No","No"
"No items were found using the following search criteria.","No items were found using the following search criteria."
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Popular Search Terms","Popular Search Terms"
"Popular search terms","Popular search terms"
"Relevance","Relevance"
"Required Fields","Required Fields"
"Results","Hasil"
"Search","Cari"
"Search entire store here...","Search entire store here..."
"Search results for '%s'","Search results for '%s'"
"Search results for: '%s'","Search results for: '%s'"
"Search Settings","Search Settings"
"Search Site","Search Site"
"Search Terms","Search Terms"
"Search Type","Search Type"
"Subscribe to Feed","Subscribe to Feed"
"There are no search terms available.","There are no search terms available."
"up to %s","up to %s"
"Yes","Yes"
"You have to specify at least one search term","You have to specify at least one search term"
"Your search returns no results.","Your search returns no results."
