"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) - all the times are in minutes"
"Daily","Harian"
"Failure history lifetime","Sejarah Kegagalan"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set."
"Generate schedules every","Generate schedules every"
"History cleanup every","History cleanup every"
"Invalid callback: %s::%s does not exist","Invalid callback: %s::%s does not exist"
"Invalid model/method definition, expecting ""model/class::method"".","Invalid model/method definition, expecting ""model/class::method""."
"Missed if not run within","Terlewatkan jika tidak dijalankan di dalam"
"Monthly","Bulanan"
"No callbacks found","No callbacks found"
"Schedule ahead for","Dijadwalkan lebih cepat untuk"
"Success history lifetime","Sejarah Keberhasilan"
"Too late for the schedule","Too late for the schedule"
"Unable to save Cron expression","Tidak dapak menyimpan ekspresi Cron"
"Unknown error","Unknown error"
"Weekly","Mingguan"
