"1 star","1 bintang"
"2 stars","2 bintang"
"3 stars","3 bintang"
"4 stars","4 bintang"
"5 stars","5 bintang"
"Add New Rating","Tambah Rating Baru"
"Assigned Options","Opsi yang Ditugaskan"
"Be the first to review this product","Jadilah yang pertama me-review produk ini"
"Default Value","Nilai Acuan"
"Delete Rating","Hapus Rating"
"Edit Rating","Ubah Rating"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Jika anda tidak menspesifikasikan judul rating untuk toko, nilai acuan akan digunakan."
"Manage Ratings","Manage Ratings"
"New Rating","Rating Baru"
"Option Label","Label Opsi"
"Option Title","Judul Opsi"
"Option Title:","Judul Opsi:"
"Please select one of each ratings above","Harap pilih salah satu dari rating diatas"
"Rating Information","Informasi Rating"
"Rating isn't Available","Rating tidak tersedia"
"Rating Name","Nama Rating"
"Rating Options","Opsi Rating"
"Rating Title","Judul Rating"
"Rating Visibility","Penampakan Rating"
"Rating with the same title","Judul dengan rating yang sama"
"Save Rating","Simpan Rating"
"Visible In","Tampak Di"
