"Actions","Aksi"
"Active","Aktif"
"Add New Rule","Tambah Aturan Baru"
"Apply","Terapkan"
"Apply the rule only if the following conditions are met (leave blank for all products)","Terapkan aturan jika kondisi berikut terpenuhi (tinggalkan kosong untuk semua produk)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Terapkan aturan ini hanya ke barang di keranjang yang memenuhi kondisi berikut (tinggalkan kosong untuk semua produk)"
"Apply the rule to cart items matching the following conditions","Terapkan aturan ke barang di keranjang yang memenuhi kondisi berikut"
"Apply to","Terapkan ke"
"Buy X get Y free (discount amount is Y)","Beli X dapatkan Y gratis (nilai diskon adalah Y)"
"By Fixed Amount","Berdasarkan Nilai Tetap"
"By Fixed value","Berdasarkan nilai Tetap"
"By Percentage","Berdasarkan Persentasi"
"By Percentage of the original price","Berdasarkan persentasi dari harga awal"
"Cart Attribute","Atribut Keranjang"
"Catalog","Katalog"
"Conditions","Kondisi"
"Conditions combination","Kombinasi kondisi"
"Coupon Code","Kode Kupon"
"Coupon code","Kode kupen"
"Customer Groups","Grup Konsumen"
"Customer is new buyer: %s","Konsumen adalah pembeli baru: %s"
"Customer registered: %s","Konsumen terdaftar: %s"
"Date Expire","Tanggal Berakhir"
"Date Start","Tanggal Mulai"
"Delete Rule","Hapus Atiran"
"Description","Deskripsi"
"Description: %s","Deskripsi:%s"
"Discount amount","Nilai diskon"
"Discount Qty Step (Buy X)","Langkan Kuantitas diskon (Beli Y)"
"Edit Rule","Ubah Aturan"
"Edit Rule '%s'","Ubah Aturan '%s'"
"Expire at: %s","Berakhir pada: %s"
"Fixed amount discount","Diskon nilai tetap"
"Fixed amount discount for whole cart","Diskon nilai tetap untuk semua keranjang"
"For matching items only","Untuk barang yang cocok saja"
"For shipment with matching items","Untuk pengiriman dengan bayang yang cocok"
"Free shipping","Pengiriman gratis"
"From Date","Dari Tanggal"
"General Information","Informasi Umum"
"ID","ID"
"Inactive","Tidak Aktif"
"Maximum Qty Discount is Applied to","Maksimum Kuantitas yang dapat diterapkan"
"Name: %s","Nama:%s"
"New Rule","Aturan Baru"
"No","Tidak"
"NOT LOGGED IN","TIDAK MASUK"
"Payment Method","Metode Pembayaran"
"Percent of product price discount","Persentasi dari harga diskon produk"
"Price in cart","Harga di keranjang"
"Priority","Prioritas"
"Product attribute combination","Kombinasi atribut produk"
"Products subselection","Products subselection"
"Promotions","Promosi"
"Public In RSS Feed","Publik pada RSS Feed"
"Quantity in cart","Kuantitas di keranjang"
"Row total in cart","Baris total di keranjang"
"Rule Information","Informasi aturan"
"Rule Name","Nama Aturan"
"Rule was successfully deleted","Aturan berhasil dihapus"
"Rule was successfully saved","Aturan berhasil disimpan"
"Save Rule","Simpan Aturan"
"Shipping Country","Negara Pengiriman"
"Shipping Method","Metode Pengiriman"
"Shipping Postcode","Kode Pos Pengiriman"
"Shipping Region","Wilayah Pengiriman"
"Shipping State/Province","Negara Bagian/Provinsi Pengiriman"
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"Shopping Cart Price Rules","Aturan Harga Keranjang Belanja"
"Special price","Harga spesial "
"Start at: %s","Mulai dari: %s"
"Status","Status"
"Stop further rules processing","Hentikan memproses aturan lebih lanjut"
"Subtotal","Subtotal"
"The page you are trying to save no longer exists","Halaman yang akan ada simpan sudha tidak ada"
"This rule no longer exists","Aturan ini sudah tidak ada"
"To Date","Ke Tanggal"
"To Fixed Amount","Ke Nilai Tetap"
"To Fixed Value","Ke Nilai Tetap"
"To Percentage","Ke Persentasi"
"To Percentage of the original price","Ke Persentasi dari harga awal"
"Total Items Quantity","Total kuantitas barang"
"Total Weight","Total Berat"
"Unable to find a page to delete","Tidak dapat menemukan halaman untuk dihapus"
"Update prices using the following information","Perbaharui harga dengan menggunakan informasi berikut"
"Update product's %s %s: %s","Perbaharu produk %s %s: %s"
"Update the Product","Perbaharui Produk"
"Uses per coupon","Penggunaan per kupon"
"Uses per customer","Penggunaan per konsuman"
"Yes","Ya"
