"Add Recipient","Tambah Penerima"
"Allow for Guests","Perbolehkan Tamu"
"Email Address","Alamat Email"
"Email Address:","Alamat Email:"
"Email templates","Template email"
"Email to a Friend","Email ke teman"
"Email:","Email:"
"Enabled","Aktif"
"Limit Sending By","Batasi Pengiriman Dari"
"Link to a friend was sent.","Link untuk teman telah dikirim."
"Max Products Sent in 1 Hour","Maks Produk Terkirim dalam 1 Jam"
"Max Recipients","Maks Penerima"
"Maximum %d email addresses allowed.","Maksimum %s alamat email yang diperbolehkan."
"Message:","Pesan:"
"Name","Nama"
"Name:","Nama:"
"Recipient:","Penerima:"
"Remove Email","Buang Email"
"Select email template","Pili template email"
"Send email","Kirim email"
"Send product to a friend","kirim produk ke teman"
"Sender:","Pengirim:"
"Some emails was not sent","Beberapa email tidak terkirim"
"Some problems with data.","Beberapa problem pada data."
"You cannot email this product to a friend","Anda tidak dapat meng-email produk ini ke teman anda"
"You cannot send more than %d times in an hour","Anda tidak dapat mengirim lebih dari %d kali dalam satu jam"
