"Action","Action"
"Add Sitemap","Tambah Sitemap"
"Always","Selalu"
"Categories Options","Opsi Kategori"
"CMS Pages Options","Opsi Halaman CMS"
"Daily","Harian"
"Edit Sitemap","Ubah Sitemap"
"Enabled","Aktif"
"Error Email Recipient","Penerima Email Error"
"Error Email Sender","Pengirim Email Error"
"Error Email Template","Template Email Error"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server."
"Filename","Namafile"
"Frequency","Frekuensi"
"Generate","Generate"
"Generation Settings","Setting Umum"
"Google Sitemap","Sitemap Google"
"Google Sitemap Section","Google Sitemap Section"
"Hourly","Jaman"
"ID","ID"
"Last Time Generated","Digenerate Terakhir Pada"
"Link for Google","Ling untuk Google"
"Monthly","Bulanan"
"Never","Tidak Pernah"
"New Sitemap","Sitemap Baru"
"Path","Path"
"Please create the specified folder ""%s"" before saving the sitemap.","Please create the specified folder ""%s"" before saving the sitemap."
"Please define correct path","Please define correct path"
"Please make sure that ""%s"" is writable by web-server.","Please make sure that ""%s"" is writable by web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed."
"Priority","Prioritas"
"Priority must be between 0 and 1","Prioritas harus diantara 0 dan 1"
"Products Options","Opsi Produk"
"Sitemap","Sitemap"
"Sitemap ""%s"" has been successfully generated","Sitemap ""%s"" has been successfully generated"
"Sitemap generate Warnings","Peringatan Menggenerate Sitemap"
"Sitemap was successfully deleted","Sitemap berhasil dihapus"
"Sitemap was successfully saved","sitemap berhasi disimpan"
"Start Time","Waktu Mulai"
"Store View","Tampilan Toko"
"This sitemap no longer exists","Sitemap ini sudah tidak ada"
"Unable to find a sitemap to delete","Tidak menemukan sitemap untuk dihapus"
"Unable to find a sitemap to generate","Unable to find a sitemap to generate"
"Unable to generate a sitemap","Unable to generate a sitemap"
"Valid values range from 0.0 to 1.0","Valid values range from 0.0 to 1.0"
"Weekly","Mingguan"
"Yearly","Tahunan"
