"# of Uses","# Penggunaan"
"%s tag(s) have been accepted for moderation","%s tag(s) have been accepted for moderation"
"Action","Aksi"
"Actions","Aksi"
"Add New Tag","Tambah Tag Baru"
"Add Tags","Tambah Tag"
"Add to Cart","Atambah ke Keranjang"
"Add to Wishlist","Tambah ke Daftar Keinginan"
"Add Your Tags:","Tambah Tag Anda:"
"All Tags","Semua Tag"
"Approved","Disetujui"
"Are you sure that you want to delete this tag?","Apakah anda yakin akan menghapus tag ini?"
"Are you sure you want to delete this tag?","Apakah anda yakin akan menghapus tag ini?"
"Are you sure you want to do this?","Apakah anda ingin melakukan ini?"
"Are you sure?","Apakah anda yakin?"
"Back","Kembali"
"Back to Tags List","Kembali ke Daftar Tag"
"Back to view Tag","Kembali ke Tampilan Tag"
"Block Information","Informasi Blok"
"Change status","Ubah status"
"Click on a tag to view your corresponding products.","Klik pada tag untuk menampilkan produk yang berkaitan."
"Country","Negara"
"CSV","CSV"
"Customer Since","Konsumen Sejak"
"Customers","Konsumen"
"Customers Tagged '%s'","Tag Konsumen '&s'"
"Delete","Hapus"
"Delete Tag","Hapus Tag"
"Disabled","Tidak Aktif"
"Edit Tag","Ubah Tag"
"Edit Tag '%s'","Ubah Tag '%s'"
"Email","Email"
"First Name","Nama Awal"
"General Information","Informasi Umum"
"Grid","Kisi"
"ID","ID"
"Last Name","Nama Belakang"
"List","Daftar"
"My Recent Tags","Tag Terbaru"
"My Tags","Tag Saya"
"Name","Nama"
"New Tag","Tag Baru"
"No matches found.","pasangan tidak ditemukan"
"Other people marked this product with these tags:","Orang lain menandakan produk ini dengan tag:"
"Pending","Tunda"
"Pending Tags","Tag Tertunda"
"Popular","Populer"
"Popular Tags","Tag Populer"
"Popularity","Popularitas"
"Price","Harga"
"Product Name","Nama Produk"
"Product SKU","SKU Produk"
"Product Tags","Tag Prroduk"
"Products","Produk"
"Products Tagged with '%s'","Produk diberi tag '%s'"
"Products tagged with '%s'","Produk diberi tag '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Produk diberi tag '%s' (<a href='%s'>RSS</a>)"
"Save Tag","Simpan Tag"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Hasil pencarian untuk '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Search Terms"
"SKU","SKU"
"Status","Status"
"Tag","Tag"
"Tag ""%s"" has already been added to the product","Tag ""%s"" has already been added to the product"
"Tag can't be empty.","Tag tidak bisa kosong."
"Tag Information","Informasi Tag"
"Tag Name","Nama Tag"
"Tag Name: %s","Nama Tag: %s"
"Tagged in","Ditag di"
"Tags","Tag"
"Tags Aren't Available","Tag tidak ada"
"Tags:","Tag:"
"Telephone","Telepon"
"Thank you. Your tag has been accepted for moderation.","Terima kasih. Tag anda telah diterima untuk diperiksa."
"Unable to find any products tagged with '%s' in the current store","Tidak dapat menemukan produk dengan tag '%s' pada toko ini"
"Unable to remove tag. Please, try again later.","Tidak dapat membuang tag. Coba sebentar lagi."
"Unable to save tag(s)","Tidak dapat menyimpan tag."
"Unable to save your tag. Please, try again later.","Tidak dapat menyimpan tag anda, coba sebentar lagi."
"Use spaces to separate tags. Use single quotes (') for phrases.","Gunakan spasi untuk memisahkan tag. Gunakan kutip sati (') untuk frase."
"Uses","Gunakan"
"View All","View All"
"View All Tags","Tampillan Semua Tag"
"View Customers","Tampilkan Konsumen"
"View Products","Tampilkan Produk"
"Visible In","Tampak Di"
"XML","XML"
"You have not tagged any products yet.","Anda belum memberi tag pada suatu produk."
"Your tag was successfully deleted","Your tag was successfully deleted"
"Your tag was successfully saved","Your tag was successfully saved"
"ZIP/Post Code","Kode Pos"
