" was not delivered nor scanned"," tidak dikirimkan atau diteliti"
"1 Day Freight","Kargo 1 Hari"
"2 Day Freight","Kargo 2 Hari"
"2Day","2Hari"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Freight","Kargo 3 Hari"
"3 Day Select","3 Day Select"
"Access ID","ID Akses"
"Access license number","Nomer surat ijin"
"Account ID","Id Akun"
"Account number","Nomer Akun"
"Additional Protection Configuration Value","Additional Protection Configuration Value"
"Additional Protection Enabled","Additional Protection Enabled"
"Additional Protection Min Subtotal","Additional Protection Min Subtotal"
"Additional Protection Value","Additional Protection Value"
"Additional Protection Value Rounding Method","Additional Protection Value Rounding Method"
"All Services","Semua Servis"
"Allowed methods","Metode yang diperbolehkan"
"Bound Printed Matter","Batasan Barang Dicetak"
"Business Service Center","Pusat Pelayanan Bisnis"
"Calculate Handling Fee","Biaya Penanganan"
"Canada Standard","Canada Standard"
"Cannot retrieve shipping rates","Tidak dapat menerima biaya pengiriman"
"Commercial","Commercial"
"Configuration","Configuration"
"Container","Kontener"
"Customer Packaging","Customer Packaging"
"Default Package Height","Default Package Height"
"Default Package Length","Default Package Length"
"Default Package Width","Default Package Width"
"Delivered","Terkirim"
"Destination type","Tipe tujuan"
"DHL","DHL"
"Displayed Error Message","Pesan Kesalahan yang Tampil"
"Domestic Shipment Days","Domestic Shipment Days"
"Drop Box","Kotak Masukan"
"Dropoff","Dropoff"
"Empty response","Respon kosong"
"Enable Negotiated Rates","Enable Negotiated Rates"
"Enabled","Aktif"
"Error #%s : %s (%s)","Error #%s : %s (%s)"
"Error #%s: %s","Error #%s: %s"
"Europe First Priority","Prioritas Utama Eropa"
"Express","Ekspress"
"Express 10:30 AM","Ekspress 10:30 AM"
"Express Mail","Surat Ekspress"
"Express Saturday","Ekspress Sabtu"
"Express Saver","Ekspress Hemat"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx Kotak 10kg"
"FedEx 25kg Box","FedEx Kotak 25kg"
"FedEx Box","FedEx Kotak"
"FedEx Envelope","FedEx Amplop"
"FedEx Pak","FedEx Pak"
"FedEx Tube","FedEx Tabung"
"First Overnight","Semalam"
"First-Class","Kelas Utama"
"Flat","Rata"
"Flat-Rate Box","Flat-Rate Box"
